price,price_per_sqfoot,bedrooms,bathrooms,square-foot
2100,1.826086957,2,2,1150
2100,1.826086957,2,2,1150
1895,1.519647153,3,2,1247
1700,2.833333333,1,1,600
2350,3.916666667,1,1,600
800,0.687285223,2,2,1164
2260,1.883333333,2,1,1200
850,0.85,2,1,1000
2650,4.757630162,1,1,557
4250,2.297297297,2,2,1850
4500,3.388554217,3,2,1328
1085,1.808333333,0,1,600
1375,1.527777778,1,1,900
3400,3.238095238,2,2,1050
2950,1.735294118,3,2,1700
2400,4.705882353,1,1,510
2150,4.134615385,1,1,520
1095,1.564285714,0,1,700
2000,1.6,2,2,1250
450,0.6,1,1,750
745,0.903030303,2,1,825
3200,2.53968254,4,1,1260
1430,1.7875,1,1,800
760,0.95,2,1,800
1095,1.564285714,0,1,700
2000,1.235330451,2,2,1619
3500,1.953125,0,1,1792
1300,1.444444444,1,1,900
949,2.3725,0,1,400
1340,1.488888889,1,1,900
2600,2.888888889,2,1,900
995,1.658333333,0,1,600
995,1.421428571,0,1,700
800,0.571428571,4,1,1400
595,0.619791667,2,2,960
405,0.45,2,1,900
575,0.958333333,2,1,600
1050,1.135135135,2,1,925
1950,3.14516129,1,1,620
8000,5.714285714,3,2,1400
1350,0.954738331,3,2,1414
1600,2.091503268,1,1,765
2300,2.705882353,2,1,850
2400,2.205882353,4,2,1088
925,1.477635783,1,1,626
1650,1.404255319,2,1,1175
1200,0.666666667,4,1,1800
5000,5.882352941,4,1,850
995,0.844651952,4,2,1178
1525,1.639784946,1,1,930
965,0.665517241,2,1,1450
3090,2.754010695,3,2,1122
795,0.640612409,3,2,1241
3350,2.791666667,3,2,1200
1600,2.069857697,1,1,773
3200,5.517241379,1,1,580
2450,5.337690632,1,1,459
750,2.142857143,1,1,350
2500,3.676470588,1,1,680
1995,2.49375,2,1,800
3200,6.299212598,0,1,508
5400,4.444444444,2,2,1215
1500,0.882352941,3,2,1700
2900,6.807511737,1,1,426
2695,3.527486911,1,1,764
1155,0.921052632,3,2,1254
2050,2.05,1,1,1000
1995,1.847222222,2,2,1080
550,0.557809331,2,1,986
4550,4.951033732,1,1,919
2795,3.105555556,1,1,900
5200,4.279835391,2,2,1215
7000,5.555555556,2,2,1260
3600,3.6,2,2,1000
10000,2,5,4,5000
2895,1.315909091,3,2,2200
1799,2.767692308,1,1,650
15000,7.953340403,2,2,1886
3000,3.157894737,2,1,950
1400,1.058201058,3,3,1323
1800,4.5,1,1,400
675,0.818181818,2,1,825
2350,2.292682927,2,2,1025
940,0.954314721,1,1,985
3500,2.916666667,2,2,1200
5700,4.071428571,3,2,1400
6300,6.11057226,2,2,1031
1100,1.571428571,2,1,700
3575,4.728835979,1,1,756
1485,1.515306122,2,1,980
1000,1.052631579,2,1,950
3400,5.135951662,1,1,662
4500,4.5,1,1,1000
11100,8.222222222,4,4,1350
3795,4.402552204,1,1,862
3096,4.128,1,1,750
3700,5.068493151,1,1,730
1200,1.090909091,2,1,1100
3500,5.223880597,1,1,670
7800,6.782608696,2,1,1150
3250,4.779411765,1,1,680
2100,3.736654804,1,1,562
2100,1.68,1,2,1250
8246,4.873522459,3,2,1692
4050,4.9031477,1,1,826
7000,5.120702268,2,2,1367
3795,4.928571429,2,1,770
12495,6.113013699,3,4,2044
9000,4.318618042,3,3,2084
4450,5.949197861,1,1,748
815,0.899558499,2,2,906
2915,5.196078431,1,1,561
24500,7.136615205,4,4,3433
3850,4.712362301,1,1,817
5900,4.693715195,2,2,1257
2500,2.12585034,1,1,1176
5150,9.098939929,1,1,566
1450,0.74168798,3,2,1955
3950,5.610795455,0,1,704
1400,1.127214171,2,2,1242
557,0.472434266,2,1,1179
3400,2.428571429,4,1,1400
4050,5.031055901,1,1,805
1593,0.889944134,4,2,1790
3400,3.571428571,2,2,952
4042,7.349090909,1,1,550
3050,5.083333333,1,1,600
3000,5,1,1,600
3050,5.545454545,0,1,550
649,0.721111111,2,1,900
3600,4.911323329,1,1,733
11400,7.6,3,2,1500
1095,2.433333333,1,1,450
1150,2.090909091,1,1,550
895,1.11875,2,1,800
1450,1.956815115,1,1,741
415,0.864583333,0,1,480
1300,1.754385965,1,1,741
1050,0.726643599,3,2,1445
2050,1.025,2,1,2000
3600,4.090909091,1,1,880
10750,9.496466431,3,2,1132
1550,3.1,0,1,500
2650,4.076923077,1,1,650
5395,9.668458781,1,1,558
1850,2.466666667,1,1,750
1599,3.290123457,0,1,486
1850,2.605633803,1,1,710
3700,5.285714286,1,1,700
1500,3.529411765,0,1,425
640,0.675818374,2,2,947
1525,4.013157895,0,1,380
2000,1.904761905,2,2,1050
1150,1.916666667,0,1,600
795,1.223076923,2,1,650
825,0.793269231,3,1,1040
1195,2.9875,0,1,400
3520,7.04,0,1,500
1295,1.992307692,1,1,650
3500,1.489361702,3,2,2350
499,0.7984,1,1,625
2100,2.433371958,1,1,863
900,0.782608696,2,1,1150
3450,4.486345904,1,1,769
1950,2.294117647,1,1,850
1400,3.111111111,0,0,450
5100,5.1,2,2,1000
2495,1.386111111,3,2,1800
1750,2.364864865,1,1,740
3000,2.590673575,2,2,1158
2950,2.547495682,2,2,1158
3235,5.735815603,1,1,564
2175,2.552816901,1,1,852
2800,2.055800294,2,2,1362
2525,2.274774775,2,2,1110
700,0.56,3,1,1250
2750,2.272727273,2,2,1210
2200,2.444444444,2,1,900
1750,2.364864865,1,1,740
1850,2.16374269,1,1,855
1950,3.333333333,1,1,585
825,0.6875,3,1,1200
1900,3.8,0,1,500
2900,3.020833333,2,2,960
680,1.007407407,1,1,675
2450,1.484848485,3,2,1650
1010,1.683333333,0,1,600
995,1.99,0,1,500
2795,1.3975,4,3,2000
2500,2.598752599,1,1,962
3675,4.669631512,1,1,787
